Creature_Left_Leg_Part_1	Left_Leg_subJoint
Creature_Left_Leg_Part_2	Left_Leg_Part_2_subJoint
Creature_Right_Leg_Part_1	Right_Leg_subJoint
Creature_Right_Leg_Part_2	Right_Leg_Part_2_subJoint
CreatureHead	Head_subJoint
CreatureEyes	CreatureHead
HeadScrew	CreatureHead
Creature_Right_Arm_Part_1	Right_Arm_subJoint
Creature_Right_Arm_Part_2	Right_Arm_Part_2_subJoint
Creature_Left_Arm_Part_1	Left_Arm_subJoint
Creature_Left_Arm_Part_2	Left_Arm_Part_2_subJoint
Creature_Torso	Torso_subJoint
NeckScrew	Creature_Torso
